speaker,tithing_talk_count,year_first,year_last,mean_score,mean_kw
Gordon B. Hinckley,88,1971,2007,0.13101457339905187,1.0083520732327567
Thomas S. Monson,65,1971,2017,0.12762646859680227,0.6569371044674602
Russell M. Nelson,48,1985,2024,0.11772138765775432,0.5475009159672939
Marion G. Romney,40,1971,1982,0.15586356810614327,0.8234256889381311
James E. Faust,38,1977,2006,0.125240655924759,0.9801471530414536
Dallin H. Oaks,36,1971,2025,0.15108327838623578,0.9762997034162838
Henry B. Eyring,35,1989,2025,0.12908502350827553,0.3838866688425512
L. Tom Perry,33,1972,2013,0.1389628304295474,0.7247854920055803
Spencer W. Kimball,29,1972,1985,0.1500388301385997,1.1737436282272806
Ezra Taft Benson,29,1971,1988,0.1319866218263645,0.7599685434387764
Robert D. Hales,27,1985,2016,0.14412081887085784,1.5103414564462756
M. Russell Ballard,26,1981,2021,0.1284240006675777,0.27051495168249823
Jeffrey R. Holland,26,1983,2025,0.13651857965327732,0.7153934370141984
Neal A. Maxwell,24,1975,2004,0.12374107039193011,0.24887482994292212
David B. Haight,22,1974,2003,0.13655256563064103,0.2178187131888896
N. Eldon Tanner,20,1971,1982,0.11564612369262484,0.4204232286800222
Boyd K. Packer,20,1974,2010,0.13377093281650204,0.5398371509344997
Howard W. Hunter,19,1972,1994,0.13065960853956612,0.14784653642680662
Joseph B. Wirthlin,19,1980,2008,0.12721588742344683,1.0590864040908066
Wilford G. Edling,18,1971,1991,0.21728584611454502,2.6222508240106217
D. Todd Christofferson,18,1993,2025,0.1257200262206673,0.08203754514125679
Dieter F. Uchtdorf,18,2004,2022,0.1055498332759916,0.4666964806872065
Bruce R. McConkie,17,1971,1985,0.1259656530637781,0.23061410944513047
Richard G. Scott,15,1979,2012,0.1180452353919707,0.16448920984492968
Victor L. Brown,14,1972,1982,0.1918031850432473,2.267444785809222
